,A2058_SKIN ,A2780_OVARY ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,LOVO_LARGE_INTESTINE ,MDAMB436_BREAST ,NCIH1650_LUNG ,NCIH2122_LUNG ,NCIH460_LUNG ,OVCAR4_OVARY ,SKMES1_LUNG ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE 
40,-0.46199015,0.16225857,-0.8336957,0.3749858,-0.43272358,0.15115647,-0.19361202,0.4890469,0.009001399,0.3865451,-0.3281328,-0.30333224,0.29041088,-0.8791848,-0.35526556
41,-0.06935302,-0.3491347,-0.49456576,-0.14949466,-0.72075474,0.12843102,-0.46115568,-0.543163,0.35734084,-0.5348737,-0.683351,-0.24614678,-0.8719265,0.98461807,-0.22510089
42,0.07731118,-0.13161676,-0.14808531,-0.24868399,-0.20601149,-0.7442246,-0.8951582,-0.7242887,0.2980261,-0.38261646,0.506348,-1.2198925,-1.2740622,0.24437954,-0.5860618
43,0.3127096,2.8498359,-0.065224014,0.6671187,1.1323211,0.35000378,1.5556456,1.7453183,1.4034377,-1.2147809,0.3474481,2.716349,-0.20950437,2.115632,0.5660962
44,-0.32452118,-0.48778358,-0.37762445,-0.5000542,0.24910034,-2.212286,0.13815364,-0.094562754,-1.0931748,-0.13847987,-0.6664358,-0.23806953,0.008365038,0.40217972,0.054552622
45,-0.3217626,-1.2845122,-1.4250846,-1.0428779,-0.8720837,-0.31869137,-1.1341908,-0.94771415,-1.2926883,0.16865972,-1.8515215,-0.43833244,-2.182999,-0.5168539,0.09137793
46,0.5333955,-0.45091102,-0.15476768,-0.40303886,-0.009115134,-0.031214938,-0.5766401,0.783237,0.5622464,0.4364224,0.793393,-1.5460166,0.9679818,-0.94420123,0.031946998
47,-0.77278954,-0.735945,-0.62988365,-4.917375,-0.30817255,-0.34255305,-0.67513305,-0.8324235,-0.29226372,-0.2802366,-0.6372187,0.08194915,-1.0371877,-0.76608336,0.20185386
48,-2.275753,-0.44759548,-1.6088495,-1.6495632,-1.0841693,-1.8770863,-0.68319684,-1.1282039,-0.9206229,-0.042137787,-1.605483,-1.1023362,-2.0507898,-2.1104326,-1.5376859
49,-0.69003236,-0.55761033,-0.7768956,-2.0979536,-1.2248095,-0.80558324,-0.20225176,-0.9644115,-1.4975938,-0.58475107,-0.54392916,-0.83688635,-1.351184,-0.27981505,0.17049763
50,0.6943124,0.21249366,-0.14441,-0.5360613,0.5978881,0.531807,2.3620205,0.1463551,0.1675336,0.43379727,-0.2650854,0.38039058,0.06014689,0.91012007,1.6708552
51,0.5839694,0.06229069,0.16197628,0.50406784,0.8622918,0.042642593,-0.10663872,-0.06752909,0.06615926,0.3235421,0.46534163,-0.21179,0.587881,0.6256735,0.0035076574
52,1.0989034,-0.053752348,-0.5359964,0.28191093,0.33911014,-0.79024357,-0.15790112,0.7037262,0.00037380485,0.5151762,0.20443818,0.094842434,-0.08418126,0.04323509,-1.7090513
