,A2058_SKIN ,A2780_OVARY ,A375_SKIN ,A427_LUNG ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,DLD1_LARGE_INTESTINE ,EFM192A_BREAST ,ES2_OVARY ,HCT116_LARGE_INTESTINE ,HT144_SKIN ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,LOVO_LARGE_INTESTINE ,MDAMB436_BREAST ,MSTO211H_PLEURA ,NCIH1650_LUNG ,NCIH2122_LUNG ,NCIH23_LUNG ,NCIH460_LUNG ,NCIH520_LUNG ,OV90_OVARY ,OVCAR4_OVARY ,PA1_OVARY ,RKO_LARGE_INTESTINE ,RPMI7951_SKIN ,SKMEL30_SKIN ,SKMES1_LUNG ,SKOV3_OVARY ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE ,T47D_BREAST ,UACC62_SKIN ,VCAP_PROSTATE ,ZR751_BREAST 
PFN1,7.3338823,5.545985,7.035103,5.4033065,3.3513577,1.9067577,4.240522,1.8443774,6.317757,6.2848315,7.034988,3.001601,4.8666067,3.119466,5.7389135,7.6816297,5.7284927,2.77171,4.2663164,3.627021,1.95281,5.1742353,2.276831,6.056393,3.7739148,5.3351974,5.105585,2.171485,5.8100967,6.0987473,1.8756186,1.4484106,3.7679884,0.93277454,1.7845807
RPS14,4.6581197,3.5533423,8.702023,2.8154805,3.6775727,4.8736815,9.046516,2.387577,5.019173,3.3367584,6.1933002,4.585643,5.130086,6.478796,4.4933324,5.2115607,2.6842878,4.3130207,1.3745742,5.1735625,7.7789392,4.0121136,3.7023914,8.991711,7.527686,3.8463056,5.2035384,2.182462,4.47099,4.916958,4.6310883,3.6273406,3.9572618,4.6184077,8.142326
CYR61,0.80214584,0.100614026,0.28230837,0.35570198,1.6774935,-0.04283861,0.8332408,0.1849247,6.104985,0.07562648,0.8239326,-0.05197412,0.009398942,0.042255554,0.114667796,5.7009416,2.726979,-0.031628914,1.1037817,0.14147556,-0.08643748,0.1361585,8.3514595,0.63569814,0.73968947,2.4423203,0.23573434,0.85989225,2.1368926,-0.0625678,0.16946617,0.13095678,0.29969227,0.019717555,0.14354074
COL1A1,-0.08474208,0.011234958,-0.11163088,0.0076039652,0.13548489,-0.05193904,-0.08204555,-0.009800629,2.0506256,-0.055616878,-0.05428899,-0.068870164,-0.038260598,-0.059036445,-0.042467874,-0.060698904,-0.060378283,0.14067735,-0.025990503,-0.019956384,-0.09580546,0.026546981,-0.026962418,1.6553688,-0.08789532,11.183398,-0.062245153,0.43162355,0.52832556,-0.072860226,-0.011431912,0.12109108,-0.06300831,-0.06800831,0.110991076
RPS5,4.0428457,2.7804778,8.836421,1.443641,5.9391565,3.7787025,5.46956,2.71963,3.427467,5.3611836,5.304003,4.8430266,3.1184447,5.1143208,4.694641,4.9473815,3.1759858,3.706134,1.2679456,2.7046916,3.2598615,4.566958,2.9703293,7.8108983,9.289309,4.642145,2.7046754,1.5697368,3.0006542,3.7758405,2.9790034,1.4159878,3.948238,4.0366626,6.569973
NQO1,7.2274203,0.37877056,4.6677437,0.7930964,1.8101838,-0.00036241006,4.929996,3.5164723,0.14987984,2.058803,3.9775922,1.772175,1.7580198,0.03756787,1.0839547,2.862807,2.6922796,3.810558,0.5378851,5.2477584,2.3469112,3.1533625,0.102235645,0.47455186,0.2870838,4.0628495,6.4035983,3.2727718,3.4523947,1.220642,2.4047081,0.8998349,1.6077417,-0.05251078,1.9513056
AC004057.1,4.68351,4.8825927,6.673165,5.266303,3.4703302,2.8158982,0.58941966,1.971542,2.1011646,4.820856,4.9178896,4.0391645,2.6946754,3.852802,2.1371336,3.5092893,3.1592734,2.2508492,2.934343,4.3667994,1.5363489,3.1018713,1.6810182,0.26073468,8.948811,2.5746498,2.711467,0.7953632,3.9614182,3.6593041,3.6113675,2.21616,5.9319835,5.8041534,7.3662057
Z98256.1,0.96318024,0.43858802,3.7109752,-0.059459675,0.29779166,-0.069719926,-0.058217403,-0.031741124,0.3249434,-0.088616,9.245335,-0.073192544,-0.027037695,-0.06373918,-0.06861984,0.040746395,0.74884045,-0.051448256,-0.043624766,-0.067077436,-0.09219007,-0.025099684,0.24758594,0.17450865,-0.08835778,5.0605135,1.0617414,0.416343,-0.09110926,-0.07761984,-0.07718261,-0.059401125,3.517049,-0.0747605,-0.089239635
hsa-mir-6723,7.0468783,7.3484273,4.3290067,5.134427,8.113241,11.980365,4.2886467,10.175672,8.900462,5.418078,7.0042653,5.463188,8.323941,8.867869,8.362737,6.521095,7.463914,7.127075,11.716739,7.403518,9.134532,8.783568,7.5118427,5.0320187,5.1654987,6.819911,8.675279,8.08012,6.4217935,5.5413756,9.503095,5.358157,6.6091948,5.702366,7.6812716
PSAT1,1.9375572,4.844606,1.9710486,0.11260536,0.7582127,1.0819875,3.4354103,0.2630499,0.47716436,1.3658581,0.9294916,0.6484509,0.026669938,0.7700042,0.70313364,2.3616023,1.0166945,1.1480932,0.21633643,0.8557821,3.0315142,1.4553612,0.539639,10.384549,0.27011326,1.842008,0.71107113,0.002544786,1.1720326,0.9521512,0.7917105,0.013797055,0.68369675,0.40145025,-0.02161871
