,A2058_SKIN ,A2780_OVARY ,A375_SKIN ,A427_LUNG ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,EFM192A_BREAST ,ES2_OVARY ,HCT116_LARGE_INTESTINE ,HT144_SKIN ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,LOVO_LARGE_INTESTINE ,MDAMB436_BREAST ,MSTO211H_PLEURA ,NCIH1650_LUNG ,NCIH2122_LUNG ,NCIH23_LUNG ,NCIH460_LUNG ,NCIH520_LUNG ,OV90_OVARY ,OVCAR4_OVARY ,RKO_LARGE_INTESTINE ,RPMI7951_SKIN ,SKMEL30_SKIN ,SKMES1_LUNG ,SKOV3_OVARY ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE ,T47D_BREAST ,UACC62_SKIN ,VCAP_PROSTATE ,ZR751_BREAST ,DLD1_LARGE_INTESTINE ,PA1_OVARY 
PITPNA-AS1,0.45457196,0.079022504,0.2845795,0.0435532,0.005940583,0.10431733,0.02703286,0.09421239,0.017697744,0.14132307,0.03359274,0.19120127,0.022967342,0.16303982,0.06603177,0.1445052,0.18012257,0.029677391,0.15672687,0.22197843,0.03192524,0.048111606,0.024624927,0.16709873,0.08026174,0.071428105,0.051755264,0.1923078,0.06358839,0.086663716,0.24533775,0.096060894,0.07817855,0.031971637,0.25374815
KAT2A,0.29842263,0.27855566,0.25941,0.2852139,0.007798266,0.27962625,0.035994507,0.04721104,0.17003725,0.34639513,0.20563082,0.040594686,0.16148221,0.11633593,0.1739816,0.27534977,0.1371691,0.16006355,0.1490803,0.2966212,0.17455828,0.033656277,0.20595661,0.19293097,0.09881265,0.13503607,0.2641171,0.18657441,0.3232476,0.1896506,0.41493908,0.15098089,0.12123814,0.18077752,0.13948007
C1orf115,-0.071400516,-0.07688555,-0.117007084,-0.016938986,0.008670778,-0.070911855,0.043995116,-0.063441314,0.019274319,-0.09422977,-0.07118037,-0.013239133,0.001938326,-0.031158704,-0.010588611,-0.048465196,-0.04155008,-0.03740698,-0.052312303,0.052332908,0.05093088,-0.044666328,-0.06272503,-0.08204941,0.023777418,-0.03730098,0.043735348,-0.031408153,-0.030226756,0.031210868,-0.02850546,0.09361149,0.46933928,0.045031566,-0.033730265
TMEM165,0.19083405,0.10831353,0.2183092,0.04065234,0.24297151,0.06509937,0.1708494,0.024746772,0.15426196,0.13969164,0.09370405,0.034031626,0.1173524,0.4301945,0.2174937,0.31868806,0.07710159,0.1813484,0.0463935,0.23710069,0.11926591,0.075086355,0.1449529,0.16015491,0.11762408,0.18631199,0.19807999,0.15399553,0.2868538,0.05172171,0.094594,0.19110304,0.40748903,0.16490449,0.20721687
STRADB,0.071525164,0.041467175,-0.034088474,-0.008275857,0.076364554,0.020327274,-0.03017194,0.07722377,0.02927703,0.07567281,-0.040382143,-0.035562642,0.033302907,0.047702458,0.16653979,-0.009838362,-0.001327924,-0.012508044,0.044606827,-0.03408345,0.00240346,-0.006724377,0.06387029,0.13102539,0.13696289,0.02953285,0.12641811,0.00351285,-0.013236634,-0.036284413,0.15441796,-0.026045421,0.055976626,-0.05331191,0.47685656
SRSF10,0.28028157,0.25440252,0.37347093,0.112623446,0.18006492,0.15280044,0.06238077,0.05256223,0.41702363,0.20187768,0.28890592,0.12839976,0.20023221,0.11624191,0.21346281,0.17297916,0.063420326,0.16102682,0.12564555,0.3659046,0.119197264,0.06449539,0.31186613,0.17005068,0.2008884,0.13213252,0.22544108,0.34508786,0.3166643,0.16444822,0.18899603,0.25089413,0.2904659,0.08927822,0.22742185
HBA1,-0.09333637,-0.06824915,-0.11329806,-0.06128753,-0.076114066,-0.06704756,-0.037433114,-0.06356272,-0.094725914,-0.096599475,-0.07299606,-0.056921296,0.4440326,-0.06615857,0.088962995,0.09006355,-0.05951636,-0.044893872,-0.02804599,-0.10136821,-0.062130366,-0.041358408,-0.08689526,-0.091657415,-0.08314906,-0.052132092,-0.10279247,-0.070039645,-0.0797507,-0.05425149,-0.08107209,-0.061123442,-0.09043453,-0.07614286,-0.11455183
CMTM4,-0.006105503,0.036841437,-0.044716354,0.05478096,0.053138785,0.3171136,0.09704345,-0.027523179,0.15679792,-0.033470694,0.12141541,0.05192705,0.108727984,-0.024777872,0.16296497,0.16265355,0.06852036,-0.012378678,0.058071394,0.22953312,0.14909574,0.012621984,-0.021175854,0.004445517,-0.026101472,0.04009188,0.096931584,0.033908937,0.27664816,0.033764124,-0.020910019,0.18235138,0.19246246,0.24664043,0.082147904
OSBPL8,0.042635348,0.009836804,0.08130231,0.05017858,0.06433087,0.003386316,-0.006186971,-0.001931997,0.33538523,0.08476916,0.018172607,0.009475054,0.051004544,0.09929238,0.120505035,0.014412888,0.012351781,0.006512445,0.001830501,0.09216812,-0.003890374,-0.007762546,0.20695798,0.094295904,0.039602783,0.012551114,0.11330153,0.09322461,0.1658954,-0.021343725,0.087151274,0.35521758,-0.026940504,0.05084925,0.29777348
BTBD3,0.117375724,0.052829448,0.35790697,-0.025915371,0.18844491,0.042703394,-0.002814976,-0.022796728,0.019965133,0.10978777,0.030259017,-0.016308784,0.059550785,-0.048542075,-0.019687384,0.09602538,-0.02039789,-0.015204787,-0.02838069,-0.03523877,0.015408617,0.014511204,0.015704324,0.025511844,0.1295709,-0.013224279,0.11360241,0.07509964,-0.03729241,-0.009955269,0.23774582,-0.040542103,0.012561764,-0.054572336,0.26936042
FAM53C,0.096190356,0.1581095,0.17984259,0.04464004,0.08251556,0.109081,0.040095605,0.015860487,0.1446256,0.123002596,0.0533056,0.07113734,0.08386295,0.0916646,0.13788942,0.07615648,0.016317395,0.03854991,0.013304782,0.2935989,-0.003548261,0.082264826,0.091718376,0.106637426,0.16949014,0.015142993,0.06890082,0.07523107,0.15392378,0.14563148,0.05064997,0.47773916,-0.011781246,0.05325717,0.29492176
CFI,0.020285537,-0.077956,-0.04610653,-0.061311536,0.39557257,-0.07027407,-0.045843974,-0.06300066,-0.098625444,0.11676954,-0.07556301,-0.06610087,-0.053506766,0.029676503,-0.001535898,-0.06878465,-0.042949207,-0.04541164,-0.067194186,-0.101273604,0.17384729,-0.027410716,-0.08911293,-0.07685323,-0.082362734,-0.024927301,-0.039615776,-0.07971631,-0.08076159,-0.06055642,0.054643843,-0.075178504,-0.10061222,-0.09361715,-0.1153798
TMEM181,0.24257286,0.003101975,0.19858454,0.056271873,0.040561166,0.022354823,0.05501194,0.015102865,0.37633944,0.1789939,0.103290424,0.006940161,0.08034632,0.31608462,0.046791337,0.115877174,0.06493498,0.03133962,0.041385114,0.06294665,0.028056163,0.008965569,0.15021941,0.16831093,0.05970633,0.120421536,0.183046,0.03812727,0.32609856,0.012793466,0.16978283,0.13747829,0.11959672,0.15389754,0.17116007
