,A2058_SKIN ,A2780_OVARY ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,MDAMB436_BREAST ,NCIH1650_LUNG ,NCIH460_LUNG ,OVCAR4_OVARY ,SKMEL30_SKIN ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE 
18,0.44357514,0.5087791,1.1698592,-0.38340378,2.452104,1.2734144,0.4276732,0.8380664,1.7549412,1.7558092,1.078156,1.0801919,0.50220764
19,0.035163775,0.49144065,-0.49801603,0.22962108,-0.24028866,0.10359475,-0.5190709,0.7278112,-0.18148777,0.6088579,0.56584626,0.5223433,0.2219085
20,0.57920986,0.2313636,0.25473577,1.031816,0.21365134,0.43248054,-0.2719774,0.38129476,0.88441724,-0.4325151,0.9294209,0.39108482,2.9181194
21,-0.26021856,0.51744837,0.1501114,-0.1633217,-0.30335167,-0.1653889,0.34301215,0.052944217,-0.23449236,-0.5286826,1.1662953,0.13476616,0.48886007
22,0.8956909,0.90322936,-0.080877416,0.93225276,-0.3345991,0.2827252,-0.7809363,0.31199148,1.5602187,0.64414877,-0.5463618,0.44212982,0.005677711
23,0.04671787,0.13166744,-0.70115024,-0.4346077,-2.1100216,-0.42109618,0.11530313,0.051106628,0.21090662,0.6029761,0.4446547,-1.5048712,-1.3450973
24,0.35817543,2.259965,2.5354106,-0.17436847,-0.09143724,0.8299082,-0.51264834,-0.3589903,0.63242346,-1.4850636,2.0091276,0.20549989,0.39008796
25,-0.40198198,-0.6143203,-0.06796921,-2.2395463,-0.03519188,1.1985368,-0.7780169,0.9273207,0.02992927,-1.0145193,0.59889853,0.39837697,-1.2516643
26,-0.3486323,0.14467125,0.14603513,1.0033693,3.2134054,2.4368982,-0.34916493,1.628229,0.6839676,0.68532133,1.7832705,0.41296124,-0.0880223
27,1.2372895,1.0289333,1.237797,1.5391141,1.2647015,1.8205975,0.9239621,1.4838471,1.8923923,0.33241317,1.9485316,1.6307484,3.718974
28,0.12709399,-0.4678102,0.17932469,-0.22182693,0.6340714,0.05866816,-0.29807636,-0.731758,-0.28735378,1.291147,-0.9821006,-0.28635484,0.68106526
29,-0.39499933,-0.76603186,-0.23305826,-1.044788,-0.7129771,-1.514339,-0.23618622,-0.12062901,-0.5135755,-0.34105307,-0.40093192,-0.64804494,0.79318494
30,1.5939586,1.0029256,-0.40276712,0.58141106,0.7420171,2.6788108,2.710602,-1.2462823,2.321927,0.009502288,0.3014283,0.63537145,1.1348829
31,-1.264418,-1.1253717,-2.2949731,-0.30564967,-1.4509848,-0.4358125,-0.4998032,-0.4954968,-2.1795979,-2.1379435,-0.993118,-0.17405592,-1.0060688
32,-0.15372016,0.5651292,-0.38030005,0.35383803,-0.18461142,-1.4625006,-0.45513722,0.09502496,0.53506225,0.2559498,0.70907265,0.101222314,0.21656947
33,1.3980418,2.064907,0.5991808,2.9472222,2.1509924,2.3044224,-4.266636,1.2580864,0.95886993,1.8381544,1.507835,1.1385291,1.388487
34,0.95597297,0.8858909,0.18068348,1.2451657,-0.022124738,-0.79896927,0.36052823,0.6306816,0.5522436,1.3676103,0.8467904,0.13002627,0.99072903
35,0.27277577,-3.1149611,-0.07068673,0.19264045,1.1794811,-0.20685962,-0.075330205,0.5256766,-0.28277206,0.8676572,-0.32876784,-0.52407855,0.48886007
36,-0.51290107,-0.36256573,-0.7398749,-0.9357425,-1.2294121,-0.5374734,-0.7167106,-0.100940585,-1.2174399,-0.22518158,-0.6229328,-0.6881517,-2.119257
37,0.5390218,0.31805596,-0.18618111,0.51503557,0.060254857,0.41520107,-0.95317775,0.9194454,0.73551184,2.4675071,0.42812857,0.40566912,0.59831023
38,-0.99314857,-1.2163987,0.40895474,0.5529644,-0.057349138,-0.5858559,-0.26044598,0.53880227,-1.2575299,-0.40028283,-0.6741638,-0.91785413,-1.374462
39,0.6847035,0.5521253,0.5720057,-0.34642318,2.4918735,0.80686885,0.5648825,0.45479828,1.0676855,0.8794208,0.58237237,1.3682314,0.3233501
40,0.1622586,0.0007619522,0.3749858,0.31116804,0.1511565,-0.19361202,-0.34099075,0.38654503,0.0070207524,0.3500586,0.29041088,-0.35526556,-0.26154083
41,-0.34913468,-0.63079184,-0.14949466,-0.66075844,0.12843107,-0.4611557,-0.74006546,-0.53487366,0.37355712,0.06655578,-0.8719264,-0.22510089,-0.69106597
42,-0.13161671,0.3830752,-0.24868397,-0.47680354,-0.74422455,-0.8951583,-0.5374628,-0.38261646,0.7126033,-0.89511883,-1.274062,-0.5860618,0.21123044
43,2.849836,0.98558706,0.6671187,1.4205865,0.35000384,1.5556457,2.3836353,-1.2147809,2.9748201,0.96764785,-0.20950432,0.5660962,-0.48284367
44,-0.48778352,-0.6251568,-0.5000541,0.20496732,-2.212286,0.13815364,-0.28117335,-0.13847986,-0.096640326,-0.5280944,0.008365054,0.054552626,-1.7428552
45,-1.2845122,-1.0170063,-1.0428779,-0.69868726,-0.3186913,-1.1341908,1.4056543,0.1686597,-1.6469747,-0.006378575,-2.182999,0.09137793,-1.0781457
46,-0.45091096,1.1763103,-0.40303886,-0.16811022,-0.031214895,-0.5766401,-0.9152262,0.43642238,0.6438777,-0.29870412,0.9679818,0.031947,0.3206806
47,-0.7359449,-0.25888166,-4.917375,-0.20148759,-0.342553,-0.67513305,-0.2956533,-0.2802366,-1.2346212,-0.014024897,-1.0371877,0.20185384,-0.4027582
48,-0.44759545,-1.0906948,-1.6495632,-0.63468236,-1.8770863,-0.68319684,-1.3093381,-0.042137794,-0.9482647,-2.2555795,-2.0507898,-1.5376859,-1.9617556
49,-0.55761033,-0.9346486,-2.0979533,-1.1633155,-0.8055832,-0.20225176,-1.335612,-0.584751,-2.1337807,-0.91099966,-1.3511839,0.17049763,0.17706062
50,0.21249367,0.13600202,-0.5360612,0.16703849,0.53180707,2.3620207,0.1444966,0.43379727,0.13244493,-0.1804799,0.06014691,1.670855,0.6143274
51,0.06229072,0.36573675,0.50406784,-0.032562025,0.042642638,-0.10663873,-0.14189132,0.32354203,0.61524206,0.308886,0.587881,0.003507661,0.16157743
52,-0.053752318,-0.24501087,0.2819109,0.41073126,-0.79024357,-0.15790112,-0.6378883,0.5151761,0.3506486,0.45593104,-0.084181234,-1.7090511,0.053462047
53,-0.17934005,0.66916,-0.053702254,-0.0491559,-0.23687984,-0.72466755,-0.61453354,0.16314694,0.38157514,0.29124057,0.78619456,-0.06977833,-0.13287017
54,-0.24062689,0.37874058,0.15486707,0.48184785,-0.08518775,-0.647486,1.4114931,0.47579926,-0.37669703,-0.045786653,0.6374594,-0.035869885,0.10017858
55,-0.4110243,-0.4543729,-0.1291133,0.26992044,-1.1669172,-0.036944892,-1.3910797,-0.18809472,-0.55595624,-0.18459715,-0.3012794,-0.5131404,0.21656947
56,-1.5507581,-1.8622568,0.47009888,-0.8361793,-0.48049626,-0.8640552,0.08610967,-0.30648786,-0.9883546,-1.1321554,-1.841459,-0.48761785,-0.09870036
57,-0.37862268,0.20535591,-0.15560907,0.08691381,-0.55168355,-0.6100471,-0.58242077,0.24925101,0.49497226,-0.009907653,0.54381144,-0.1619145,-0.08126842
58,0.36822245,-0.036515746,0.1283713,0.4249546,-0.8623967,-0.19015613,-0.1737122,0.3839199,0.10037299,-0.10872191,0.2782917,0.20768756,-0.74712574
59,-1.5808992,0.7125062,-1.7039135,-0.26060915,-0.02780611,-0.16423693,0.5794792,-0.021136802,-1.5496134,0.3206496,-0.88845253,0.9489334,-1.2116215
60,-1.3699118,-1.0690217,0.2554151,-0.8314382,-0.7641093,-0.42959192,0.29338327,-0.63987863,-0.8222679,-1.7615082,-0.28651604,0.46765226,-0.27168497
61,-0.43141976,0.42208678,0.07266223,0.09876658,-0.28573948,-0.22413908,-0.5263693,0.2531887,0.08949144,1.6734641,-0.71713173,-0.3264616,0.3046635
62,-0.5460562,-0.39002988,-3.905101,-0.9973769,-2.195242,-0.29440892,-0.59409815,-0.1707689,-1.0398988,-0.013436731,-0.4951308,0.35462412,-0.39474967
