,A2058_SKIN ,A2780_OVARY ,A375_SKIN ,A427_LUNG ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,EFM192A_BREAST ,ES2_OVARY ,HCT116_LARGE_INTESTINE ,HT144_SKIN ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,LOVO_LARGE_INTESTINE ,MDAMB436_BREAST ,MSTO211H_PLEURA ,NCIH1650_LUNG ,NCIH2122_LUNG ,NCIH23_LUNG ,NCIH460_LUNG ,NCIH520_LUNG ,OV90_OVARY ,OVCAR4_OVARY ,RKO_LARGE_INTESTINE ,RPMI7951_SKIN ,SKMEL30_SKIN ,SKMES1_LUNG ,SKOV3_OVARY ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE ,T47D_BREAST ,UACC62_SKIN ,VCAP_PROSTATE ,ZR751_BREAST ,DLD1_LARGE_INTESTINE ,PA1_OVARY 
MSTO211H_PLEURA ,0.7648442914635496,0.7839824343764379,0.7648559397550364,0.751483701128137,0.7084083192097799,0.7632251789468779,0.5817797424562752,0.7941397445529677,0.7971915969225214,0.6406269110478221,0.6921959131879658,0.5736026418325092,0.7312273222325115,0.7322640201748408,1.0,0.6317509129348453,0.6757348615891764,0.7353974105848025,0.8237613498040175,0.6786935276268353,0.6063110443275732,0.6893284177543259,0.681442524417731,0.579147228580248,0.65736550591442,0.7028520841705543,0.6720656497708198,0.7076278836801612,0.6386001083291108,0.5422803860243799,0.6575402302867227,0.719986720947705,0.5915293624307655,0.6277322523718833,0.6794157216990198
NCIH1650_LUNG ,0.6340106814832934,0.6057286297532309,0.604820063017257,0.6888974309693126,0.8302610964536776,0.5688268423229023,0.8075352797628408,0.5542082365069103,0.7663119761908922,0.5972137286763464,0.7858892186045432,0.7638192418127071,0.6237834815578425,0.698181119284329,0.6317509129348453,1.0,0.6658687586998177,0.8109948223344341,0.7501441476071498,0.5393799614441552,0.7045061415616864,0.8607330269832673,0.4732176657988689,0.5849713743236711,0.5780639374719713,0.7603596992411138,0.7429222068853051,0.8378790790860751,0.8260094700609788,0.7673486741332215,0.640254165720243,0.5622339093413473,0.6065673067402839,0.6796603358202435,0.4842835427113728
NCIH2122_LUNG ,0.6483963214695485,0.688711058305523,0.7238888985957984,0.6691186320246478,0.7466613084525827,0.7005690190391325,0.7148265278190321,0.6173186797826429,0.6866260141293776,0.5481045317678029,0.8052137904558643,0.6290368610184102,0.8004414702473515,0.6763755176209529,0.6757348615891764,0.6658687586998177,1.0,0.6543951915852743,0.802060582764023,0.6726830092196228,0.6871967804122331,0.6702252197158982,0.7018619793941724,0.5806498581820512,0.5504341900651722,0.7244130717127065,0.6815473590411126,0.7111922608751361,0.6626538302494481,0.5987745997355838,0.5758507620894705,0.7282104147374184,0.707348324684477,0.58338720668146,0.5278365045806906
NCIH23_LUNG ,0.7142091683702293,0.7484318487585834,0.6813027449198888,0.8133011840488297,0.8235633288487411,0.7469525157397539,0.791845031130059,0.6983791402396053,0.8553165714418838,0.6150822078171684,0.7687195869536405,0.7386705804926063,0.7379017932544744,0.7233647254788904,0.7353974105848025,0.8109948223344341,0.6543951915852743,1.0,0.7928700807809015,0.647895444935614,0.617237141742235,0.8105055940919865,0.5525192342413177,0.5403584179290503,0.6633410794471721,0.7461371353356746,0.6867541453357329,0.8318918572618361,0.8191369780837395,0.7410118870814624,0.6894798455436549,0.6735799276641099,0.6364218778210706,0.6914600550964187,0.5347439414323905
NCIH460_LUNG ,0.7778554330543568,0.7705519542921042,0.7712625000728018,0.8130798665105795,0.7983913709456666,0.753079517061835,0.695758274655065,0.6900389635350235,0.8334294317380998,0.6494213711203909,0.7427147004810218,0.6474528098591139,0.7298178789626032,0.7749317118911584,0.8237613498040175,0.7501441476071498,0.802060582764023,0.7928700807809015,1.0,0.7126250007280183,0.6947332250042225,0.7605460719049033,0.6499222476543253,0.5738239593707593,0.6653795304573702,0.8105871321323945,0.7898997664517556,0.7929749154042831,0.7724040326385128,0.6611744972306187,0.6861367858869301,0.705519542921042,0.6715647732368855,0.6021293076837955,0.6124263973581675
NCIH520_LUNG ,0.5689666218207444,0.6979714500375658,0.6606270275307369,0.6151404492746027,0.6432361283408756,0.7856481400590568,0.5376676625955888,0.5967477970168725,0.6516927879603259,0.4389949854105149,0.6389572419122193,0.5660661972405198,0.7580999306926657,0.7262185568931677,0.6786935276268353,0.5393799614441552,0.6726830092196228,0.647895444935614,0.7126250007280183,1.0,0.5445168579898544,0.6258568774425011,0.6521820162027735,0.44066069109313394,0.528267491365704,0.6483147834291405,0.573090117007088,0.6650650265872253,0.5588093116442145,0.5261242057321243,0.5323676899690738,0.7530911653533218,0.6717394976091882,0.478133244806318,0.4840505768816359
OV90_OVARY ,0.586497300508448,0.5726940750965352,0.5535792287666207,0.5884658617697249,0.6991246308947635,0.6400910896394272,0.6332302459536747,0.5032935544179058,0.6075923563911263,0.4963744692747191,0.743233050961663,0.7377853103396059,0.6654610684977781,0.6181457084782089,0.6063110443275732,0.7045061415616864,0.6871967804122331,0.617237141742235,0.6947332250042225,0.5445168579898544,1.0,0.7363875153611844,0.5932067164048713,0.5703178236332186,0.47440579153052725,0.6847273426170216,0.6315062988136215,0.724983837995562,0.6522984991176419,0.606252802870139,0.49779556083611437,0.6471150094059954,0.6397066960203612,0.5743131876132068,0.49100460689928305
OVCAR4_OVARY ,0.7082685397119377,0.734978072091276,0.6363985812380969,0.7739532554062633,0.8715193449000868,0.7142441132446898,0.7414778187409362,0.6617918566794215,0.7958753399845078,0.6182039499356432,0.7324117566579395,0.7295732648413794,0.6975171666695787,0.80380782648705,0.6893284177543259,0.8607330269832673,0.6702252197158982,0.8105055940919865,0.7605460719049033,0.6258568774425011,0.7363875153611844,1.0,0.5806848030565117,0.6596252744628681,0.6460433665892056,0.8393700603963914,0.7878496671500708,0.8153629316420014,0.7485017385075045,0.7265447090547994,0.6912503858496555,0.6837838310065871,0.6227700801984869,0.5998578908438604,0.5487451877995795
RKO_LARGE_INTESTINE ,0.5875922399082114,0.658355610690802,0.7463701011654116,0.634266943896004,0.6040629240706119,0.8050308970931689,0.49511645379413977,0.5876038881996983,0.5831891857261836,0.505168929347288,0.7186900293277065,0.5536957116814891,0.7910645956004403,0.6615938357241452,0.681442524417731,0.4732176657988689,0.7018619793941724,0.5525192342413177,0.6499222476543253,0.6521820162027735,0.5932067164048713,0.5806848030565117,1.0,0.5134625128859225,0.4498395447847687,0.5871379565402245,0.5026179535116687,0.6093861932801007,0.5463922329192366,0.5391236990314445,0.5655653207065854,0.8163879812928438,0.7823283769853057,0.5630609380369135,0.5839463246728286
RPMI7951_SKIN ,0.7090722718245301,0.6368645128975707,0.649724226699049,0.7214893505495081,0.6656940343275151,0.527731669957309,0.42000827028695564,0.6701553299669771,0.49168020780552013,0.8068946237310642,0.5849439569968629,0.4161410375133227,0.5481394766422635,0.6593690120501575,0.579147228580248,0.5849713743236711,0.5806498581820512,0.5403584179290503,0.5738239593707593,0.44066069109313394,0.5703178236332186,0.6596252744628681,0.5134625128859225,1.0,0.7291073331819056,0.7643434149296152,0.7220135236664162,0.5567242674680691,0.44412023366472725,0.399763539682817,0.75254369565344,0.5242837756772025,0.45861070827436384,0.3574220001281312,0.4659141870366164
