,BR:MCF7,BR:MDA_MB_231,BR:HS578T,BR:BT_549,BR:T47D,CNS:SF_268,CNS:SF_295,CNS:SF_539,CNS:SNB_19,CNS:SNB_75,CNS:U251,CO:COLO205,CO:HCC_2998,CO:HCT_116,CO:HCT_15,CO:HT29,CO:KM12,CO:SW_620,LE:CCRF_CEM,LE:HL_60,LE:K_562,LE:MOLT_4,LE:RPMI_8226,LE:SR,ME:LOXIMVI,ME:MALME_3M,ME:M14,ME:SK_MEL_2,ME:SK_MEL_28,ME:SK_MEL_5,ME:UACC_257,ME:UACC_62,ME:MDA_MB_435,ME:MDA_N,LC:A549,LC:EKVX,LC:HOP_62,LC:HOP_92,LC:NCI_H226,LC:NCI_H23,LC:NCI_H322M,LC:NCI_H460,LC:NCI_H522,OV:IGROV1,OV:OVCAR_3,OV:OVCAR_4,OV:OVCAR_5,OV:OVCAR_8,OV:SK_OV_3,OV:NCI_ADR_RES,PR:PC_3,PR:DU_145,RE:786_0,RE:A498,RE:ACHN,RE:CAKI_1,RE:RXF_393,RE:SN12C,RE:TK_10,RE:UO_31
CNS:U251,-0.13988383180355507,-0.010752670990790015,0.11669390982972119,0.109602186207435,-0.06520628455066246,0.11247865556664624,0.21610123143009483,0.1847196499319125,0.5338663250667206,0.22058972088724485,1.0,-0.0549220406661761,-0.14059673248290744,-0.13116208934916354,-0.20959125791536118,-0.1526639280485552,-0.0629983494627747,-0.07287170210495325,-0.09189402628683041,-0.14420330540694234,-0.030833641794350657,-0.09456949819688866,-0.07752446977765251,-0.13047190089686578,-0.10591539126183375,-0.11443724397942376,-0.05726831922949748,-0.05608715208699133,-0.0427388525250791,-0.11528908967910688,-0.10194026422810291,0.03675959532937002,-0.11931150157259503,-0.08049680293632065,0.09655548577558332,0.05227135278711871,0.0637754978921719,0.04111362133361464,0.12031578300067593,-0.14124979609789245,0.010511919392927482,0.0816251353486976,0.028755043484857967,0.0539436751207997,0.062292320071504446,-0.012194357640090277,-0.05510490613489049,-0.08228164735422631,-0.03768987577274204,0.01224050149568484,0.010795692863849014,-0.02642031816819697,0.035766412060643495,0.11931206792328954,0.020834748108786355,0.051182820201840305,0.1323703382089005,-0.03058354493293881,-0.11782441675867505,-0.03976883271624675
CO:COLO205,0.1087014152066583,-0.12296309256631906,-0.20865543665941697,-0.16142186718629595,0.11757848600604222,-0.20797409236702552,-0.0076062639080000695,-0.14865671386247425,-0.13173207632670994,-0.2015631678266522,-0.0549220406661761,1.0,0.37638199878921225,0.06646298899536773,0.1431427007452943,0.2940755272484682,0.42525913369672413,0.22260267849827048,-0.002953592288510923,0.12404762836779418,0.08033117270113192,0.007527145536939274,0.11898683797792906,-0.03210883330024838,0.060894559302414906,-0.0449784718556875,-0.1380460383232279,-0.08138242366412535,-0.07114639871368615,-0.0706527740643997,-0.08508373019780031,-0.08555084450825277,-0.04741678040171672,-0.03834524890333052,0.031047362006461302,-0.04127062879822757,-0.08023714040121442,-0.1334652504973892,-0.12606355368204847,-0.09565836333468945,0.12165839201713388,-0.0016955915380292004,-0.17829764687123595,-0.014244736268519922,0.03872255694483858,-0.03488876556552857,0.005640046492459364,-0.1698465494156809,-0.10737422827235014,-0.12567518231904573,-0.0071173374310586675,-0.07930678530528026,-0.1133557764787567,-0.04745360032418994,-0.12583582399611148,0.016947209503036492,-0.19088649813949374,-0.1444991170478687,-0.08725299054440684,-0.16306381566116712
CO:HCC_2998,0.1437260257205618,-0.12227487081770579,-0.22293775768025187,-0.15467868316835212,0.0929098148799279,-0.20736870797093954,-0.05988075330176655,-0.17049892453732787,-0.17041540184533419,-0.21430338007310246,-0.14059673248290744,0.37638199878921225,1.0,0.2123036856736195,0.3760852461661679,0.36898151289845676,0.3698202165728851,0.21651988606434594,-0.050053788775928636,0.06244922779255415,0.061512446414391894,-0.04912905259138159,0.06954693027236293,0.03884218069658247,-0.0217497726922225,-0.031885175240567776,-0.10720155654291612,-0.09562655409430797,-0.10559626340277314,-0.05072096620877046,-0.07217934726870051,-0.10773625682023905,-0.053589101766771674,-0.07312703976574608,-0.0012428862411025432,0.00926231759767514,-0.09999198201285649,-0.14324279737077356,-0.12321480377208688,-0.02304507805706271,0.1271297884219833,0.025693146738704445,-0.07199111107419698,-0.008437010150895322,0.010959044633189896,-0.011530026118224426,0.0002205601820047201,-0.13346226549851442,-0.08715105416867273,-0.13164409714623737,0.009797224522300522,-0.02823778768462079,-0.10914193024331424,-0.044203101762979535,-0.09483625555500279,-0.10909921614098415,-0.21831668841133148,-0.16286134172617936,-0.04922135218044873,-0.11124281417445427
CO:HCT_116,0.12224136745366537,-0.06208205212283883,-0.1965578989611746,-0.13591948206768223,0.029176081109949695,-0.08281761359446269,-0.07622342544663661,-0.14174919043192255,-0.10763172276196689,-0.20979904576744335,-0.13116208934916354,0.06646298899536773,0.2123036856736195,1.0,0.37671572768911565,0.14045772409397345,0.19885677554784337,0.20050040813117823,-0.012948972284135976,0.0388094226968247,0.02786350178760507,0.029066224116214828,-0.022088246594458388,0.06603708916546466,0.03424828180844112,-0.04535267781130695,-0.0799277166724175,-0.06859744106709974,-0.11336764951870221,-0.0011974130579897263,-0.08634303135694286,-0.10930141474474778,-0.058864941156314,-0.09679735494555185,0.01231051613188049,-0.03115006093971116,-0.046801485455042,-0.14320059661866885,-0.1403838371257156,0.11673774407394698,0.02854952712156048,-0.0053180662362154575,0.01067325259317597,0.041265576332911745,-0.01595721296020105,-0.11033893920687395,0.07998918086876647,0.012792420976808919,0.009925482985445612,-0.06365926388648976,0.04032474486673999,0.06956172994063667,-0.034559782504842707,-0.11721623221027057,-0.07504003946974255,-0.0810627922853003,-0.2428063187347587,-0.06858787163541126,0.033533425136848434,-0.11434120160507685
CO:HCT_15,0.20494375346636554,-0.043356105412107375,-0.27593454946983104,-0.12473111033893622,0.11877338164881053,-0.011949703190625856,-0.11247202030126054,-0.1499118586330992,-0.07965440214670143,-0.18083745606101875,-0.20959125791536118,0.1431427007452943,0.3760852461661679,0.37671572768911565,1.0,0.3013071961885709,0.2442549291303984,0.261030104679033,0.07058823334869027,0.07854877081700531,-0.016783468440199064,0.09226466053525675,-0.016867743519892713,0.11292344538342222,-0.055948619142645005,-0.025038252262272357,-0.04144591761359425,-0.09446335445074605,-0.1406106279444703,-0.09075151404863127,-0.04631875311476056,-0.18450624743150557,-0.04408389186571736,-0.08450715698448528,-0.07793956205688535,-0.005772121170471457,-0.09068747105199432,-0.21306316950197776,-0.17230251052015766,0.06805154551903661,0.07270218334754454,0.005082078992966888,-0.017569517945003936,-0.04186926417288572,-0.031059581616022396,-0.05500996402224746,0.007917064350596508,-0.006632811477431563,0.06128512788856622,-0.16691542756515973,-0.02877365121545294,0.029099441170513933,-0.04030819287214446,-0.18472511539772357,-0.1553361427812547,-0.17284282823493674,-0.28284899898946037,-0.1281224906367901,0.007917243654946964,-0.15882647773985725
CO:HT29,0.11380253310840611,-0.048605236166242724,-0.20758640558472785,-0.14339638761990747,0.10922930933607408,-0.1689313858961296,-0.14029379220986074,-0.11551979091160201,-0.14277786463321396,-0.17829399737088564,-0.1526639280485552,0.2940755272484682,0.36898151289845676,0.14045772409397345,0.3013071961885709,1.0,0.2507157999258259,0.2264613379167797,-0.030701361272942575,0.02210267896176163,-0.018851004969835394,-0.009721967903227022,0.034965612814762494,0.024173908783844882,-0.0678734721809324,-0.11698649479453029,-0.0580478521117873,-0.1498430324296656,-0.14446281467362052,-0.14393345355830284,-0.09303200089428457,-0.22372683643662145,-0.08590001140799468,-0.10955461552806794,-0.010105900404079694,0.014987276144844722,-0.04394512167334891,-0.06195162790809212,-0.06695053221264102,-0.025851067020060344,0.17271753783902075,-0.04466552213719819,-0.09873047769823123,-0.03378199492951056,0.0033488225465586863,0.0400788435468748,0.17158642784388234,-0.11763367698255461,-0.010158284242828348,-0.13891518039602108,-0.04742620232213744,-0.03807485451973087,-0.07583390555223542,-0.036509611403928346,-0.056928913107632394,-0.04732981124297742,-0.04345196407948618,-0.11957039203345686,0.031245955430259344,-0.03368599269447259
CO:KM12,0.09590363361252964,-0.12309390284764811,-0.15463628381788988,-0.12233170279219593,0.062002137604895174,-0.1797374758999536,-0.09771147138567549,-0.1842701132469836,-0.1157305713948317,-0.1892520162521635,-0.0629983494627747,0.42525913369672413,0.3698202165728851,0.19885677554784337,0.2442549291303984,0.2507157999258259,1.0,0.20091698741124694,-0.012757021933129331,0.07359651754953936,0.04111731222261592,-0.004964570520863898,0.06227926208848101,-0.03716886648808755,-0.021251926962189707,-0.09715440602273052,-0.15732823102971208,-0.11668495493769375,-0.08597357831876862,-0.05556339875731219,-0.13954543676076883,-0.07890760298176669,-0.10356898223521424,-0.09456737387290115,0.031130073135358163,-0.04604810117614375,-0.09080078019986924,-0.11702115095482282,-0.13644099640115753,-0.07845206458944921,0.14161010302702734,0.023046401181189856,-0.12858317815608075,0.1121054222341508,0.03527543312906382,0.004661929452584967,0.017326277436511557,-0.11585998374673076,-0.0588036329254931,-0.045164276842942365,0.0417561466965797,-0.033736950186235765,-0.11057375132837612,-0.11075478976093438,-0.052766749836175665,-0.03337880349737047,-0.15950740700967322,-0.11611119999662484,-0.06147095431447532,-0.0797518139752765
CO:SW_620,0.0756912549351597,-0.10405064789955284,-0.23315224030217654,-0.12957836471007908,0.04012962580530903,-0.09885687429888954,-0.16873047388870913,-0.1834003062529423,-0.09265306209701663,-0.169923371857298,-0.07287170210495325,0.22260267849827048,0.21651988606434594,0.20050040813117823,0.261030104679033,0.2264613379167797,0.20091698741124694,1.0,0.1386883825477637,0.1521678327614433,0.0992833737046198,0.14136078188810544,0.07452998686126144,0.00953380237430273,-0.11396908699833716,-0.10468835367019767,-0.039550023541726445,-0.11243195609924167,-0.1606797558868912,-0.07106502266777885,-0.08927104810216806,-0.14194339478883738,-0.05633996613848179,-0.06571505344061805,0.03695303115231212,-0.02584434576413351,-0.06661399616483035,-0.11100825022517087,-0.162023592798623,-0.01923892372668385,0.015868422540042722,0.04717717986409637,0.038959493869142096,0.012664666220885024,-0.026846674714983955,-0.055678807643242754,0.06329471094743314,-0.021679864262069356,-0.06538474868616152,-0.042516135867537476,-0.044476112183454694,-0.034345238403124694,-0.14622806086359624,-0.1457277557377982,-0.03343597678176486,-0.15529765770637954,-0.1849354464307265,-0.090492144308395,-0.05849421422759665,-0.07003635173847182
LE:CCRF_CEM,0.06453395823116813,-0.034068421876615226,-0.1265330437682448,-0.034641333282650816,-0.05022258810084486,-0.015769403718195473,-0.11106479087956048,-0.11001484316976935,-0.023818668077480457,-0.07944399564180463,-0.09189402628683041,-0.002953592288510923,-0.050053788775928636,-0.012948972284135976,0.07058823334869027,-0.030701361272942575,-0.012757021933129331,0.1386883825477637,1.0,0.39960878908595593,0.20119893288344584,0.7615850017053611,0.18134010315814,0.18226649842122564,-0.07579189178681126,-0.07443059612386575,-0.06553521866747493,-0.08410483084246488,-0.10925720078629302,-0.11526642801632049,-0.047198693844895924,-0.13569366005487424,-0.06839521928703633,-0.06945253990315885,-0.090794773383473,-0.13843010087519228,-0.0730552623973505,-0.12898324281684828,-0.1718196962078729,0.030814279962244232,-0.0662969367942188,-0.011087470751606066,0.03795142796958573,-0.02103283016690075,-0.0422061688091038,-0.1125340212398082,-0.07248676637228832,-0.008501588595084649,-0.031565234592182606,-0.07683274754389625,-0.12490453775793735,-0.06997127130540293,-0.10817306663555953,-0.2160205556423828,-0.1360564773624203,-0.20661914340594542,-0.131327136032367,-0.0555126101013151,-0.09824239182597964,-0.14893737657820882
LE:HL_60,0.04577478401364822,-0.06307867896312369,-0.16967815644034825,-0.06241193311416938,-0.11154270427417244,-0.10733100010148394,-0.09460080817912664,-0.14817975985350618,-0.09804182681801137,-0.20206277522144703,-0.14420330540694234,0.12404762836779418,0.06244922779255415,0.0388094226968247,0.07854877081700531,0.02210267896176163,0.07359651754953936,0.1521678327614433,0.39960878908595593,1.0,0.3327162109438953,0.38823405367330704,0.31313912628328927,0.19562335519201293,0.03567698148515416,-0.09994911714668657,-0.07454307150622289,-0.03341594013626656,-0.059955363175310854,-0.041259112203026936,-0.04860087900824439,-0.054281782579162566,-0.029257500472415328,-0.030690717971168943,-0.10510599647120097,-0.15489288150107008,-0.09381663004960539,-0.1395256835634018,-0.1639081112334516,-0.05103425339868867,-0.1209029359064191,0.03548955679281911,-0.07303994421011202,0.019533096843141598,-0.01347151240687958,-0.09431000416578417,-0.1002667590549685,-0.032266556645939096,-0.12534548347178265,-0.06726243811160477,-0.09691853858031435,-0.12239942093667178,-0.07817242583481301,-0.19463960033511468,-0.14760027387495658,-0.16245397498507821,-0.16772528225766445,-0.05683228070815066,-0.0745488909694423,-0.16153822932034512
